DATE,JOLTS_Government,JOLTSDurableGoodsManuf,JOLTS_Information,JOLTSFinanceANDInsurance,JOLTSHealthCareSocialAssistance,JOLTSLeisureANDHospitality,JOLTSPrivEduHealthServices,JOLTSProf_AND_Bus.Services,JOLTSRetailTrade,JOLTSTransp_Warehousing_Utlts,JOLTSNondurableGoodsManuf,JTSJOL_TOTAL,UNEMPLOYED
2001-01-01,468.7,278.0,179.3,219.7,771.0,650.0,822.7,940.3,516.7,141.7,155.7,5031.0,6084.3
2001-04-01,502.3,219.0,120.3,205.7,700.3,518.7,761.7,784.0,483.7,126.0,116.0,4467.0,6327.0
2001-07-01,476.7,187.7,100.3,204.7,752.3,557.3,807.7,664.7,380.0,136.7,116.3,4180.7,6922.3
2001-10-01,464.3,141.3,79.3,150.0,694.3,420.3,745.7,588.3,421.0,109.7,100.7,3719.7,7985.0
2002-01-01,452.0,150.0,110.3,197.0,691.0,393.3,746.7,519.3,373.3,88.7,104.7,3582.3,8233.7
2002-04-01,434.3,148.0,84.3,173.0,640.0,372.3,705.3,540.7,339.3,106.7,96.7,3446.7,8463.7
2002-07-01,424.7,152.7,82.7,156.3,650.7,374.0,703.7,577.3,367.0,84.3,89.3,3395.0,8315.0
2002-10-01,394.3,138.0,69.0,186.0,637.7,388.3,684.7,598.0,318.7,95.7,84.3,3387.3,8489.0
2003-01-01,395.3,123.3,88.7,158.7,561.0,368.7,605.3,627.3,342.3,88.7,77.0,3256.3,8575.3
2003-04-01,358.0,110.0,56.0,157.3,571.0,408.3,621.7,607.7,353.0,100.0,83.3,3262.3,9021.7
2003-07-01,331.3,123.3,74.3,180.0,507.3,374.3,551.0,576.7,340.0,94.7,76.7,3087.3,8942.7
2003-10-01,340.3,145.7,76.7,160.7,538.3,447.3,586.3,615.3,360.7,94.7,90.3,3347.7,8541.7
2004-01-01,348.7,145.0,87.7,220.7,568.7,454.7,619.3,582.0,386.7,86.3,94.0,3493.7,8342.7
2004-04-01,351.7,171.3,87.0,199.7,549.0,435.0,596.0,628.0,410.7,83.7,102.7,3519.3,8222.7
2004-07-01,334.7,169.7,93.0,245.0,551.0,501.7,605.0,669.0,453.0,93.0,100.3,3725.3,8017.7
2004-10-01,381.3,172.7,84.7,206.7,582.0,461.7,651.0,777.0,405.3,85.0,91.0,3829.7,7975.7
2005-01-01,344.7,185.0,87.3,225.3,588.3,541.3,643.7,739.3,480.0,96.7,98.3,3937.7,7833.7
2005-04-01,353.0,188.0,94.7,202.3,609.0,579.0,686.0,713.7,479.7,125.0,83.0,4006.0,7615.7
2005-07-01,391.7,208.0,112.0,246.3,632.0,511.7,703.7,810.7,503.7,132.3,96.7,4250.0,7434.7
2005-10-01,389.3,215.3,106.0,278.3,610.7,540.3,686.3,746.0,480.0,114.0,100.3,4238.0,7432.7
2006-01-01,397.3,238.3,124.0,308.3,650.7,597.0,734.7,790.3,504.3,95.7,104.3,4484.7,7106.7
2006-04-01,421.3,216.7,140.3,285.0,645.0,586.7,712.7,899.0,510.7,146.7,118.7,4622.3,7033.7
2006-07-01,464.3,208.3,157.0,211.7,649.0,578.3,720.3,936.0,477.0,141.0,116.0,4613.7,7037.7
2006-10-01,429.0,213.3,154.3,227.0,715.0,594.7,784.3,833.3,510.0,139.0,118.0,4618.7,6787.0
2007-01-01,444.3,224.7,164.3,230.0,681.7,563.7,750.0,940.7,492.0,155.7,128.7,4808.0,6924.7
2007-04-01,437.7,219.0,176.0,197.7,729.7,593.3,804.3,940.3,477.3,140.7,136.3,4735.0,6865.0
2007-07-01,452.3,210.3,134.7,236.0,728.7,646.7,802.7,800.3,472.7,163.0,123.3,4598.7,7128.7
2007-10-01,440.7,173.0,109.3,170.7,694.0,608.3,764.7,1026.7,448.0,141.3,128.7,4609.0,7374.0
2008-01-01,421.7,153.3,75.0,211.7,715.7,569.7,782.3,958.3,416.3,138.3,117.3,4376.0,7668.0
2008-04-01,432.3,157.3,88.3,141.0,670.3,525.0,736.7,798.3,417.7,113.0,105.3,4019.7,8202.3
2008-07-01,391.3,135.3,68.7,161.7,620.7,427.0,692.0,651.7,370.7,116.3,98.3,3548.3,9289.7
2008-10-01,365.3,112.0,62.0,131.3,582.0,368.7,653.0,560.7,420.0,84.0,86.0,3251.3,10632.7
2009-01-01,363.0,62.0,62.7,117.3,496.3,276.7,551.7,507.0,332.0,60.3,60.7,2712.0,12794.0
2009-04-01,318.7,45.0,39.7,110.3,474.3,284.0,522.0,429.7,308.0,69.3,48.3,2449.0,14353.0
2009-07-01,292.3,56.3,44.7,105.0,494.7,247.7,539.7,444.3,246.0,58.7,55.0,2352.3,14808.0
2009-10-01,354.3,80.0,53.0,101.0,483.3,266.0,529.3,426.7,251.7,46.7,73.7,2492.3,15223.0
2010-01-01,385.0,91.7,73.3,138.0,500.0,261.3,559.0,425.7,341.0,55.0,63.7,2727.3,15120.3
2010-04-01,436.3,119.7,71.3,179.7,433.0,308.0,494.0,566.0,310.3,69.0,68.0,2980.7,14882.7
2010-07-01,335.7,132.7,82.7,187.0,458.3,334.7,516.3,632.0,287.7,84.3,62.3,2999.7,14579.7
2010-10-01,360.3,147.0,69.3,188.7,516.7,362.7,578.3,643.7,328.3,84.3,61.0,3168.0,14648.3
2011-01-01,325.7,143.0,88.0,181.3,508.3,382.7,575.7,596.3,367.0,100.0,74.3,3197.0,13856.7
2011-04-01,332.7,145.0,98.3,173.3,537.0,352.0,602.0,617.0,427.7,110.7,72.7,3297.7,13924.7
2011-07-01,352.7,163.0,112.0,154.7,562.3,394.3,631.7,783.3,408.3,109.3,72.3,3575.3,13843.0
2011-10-01,362.7,157.3,105.7,156.3,575.7,434.7,636.7,740.7,449.7,108.7,75.3,3650.7,13329.7
2012-01-01,380.0,179.0,93.7,163.7,621.7,426.3,684.3,844.0,413.3,124.3,90.7,3834.7,12774.3
2012-04-01,383.7,181.3,97.0,181.7,659.0,474.0,722.0,765.3,377.7,109.0,102.3,3846.3,12666.0
2012-07-01,394.0,154.7,89.3,197.3,614.0,444.7,687.0,721.3,465.0,118.3,102.3,3808.7,12414.0
2012-10-01,384.0,164.3,93.0,182.0,652.0,487.7,717.0,733.7,427.0,101.7,93.7,3874.3,12142.3
2013-01-01,424.0,169.7,92.0,216.7,609.3,501.3,677.7,761.0,449.0,128.3,94.7,4001.0,12036.7
2013-04-01,410.3,149.0,88.0,231.3,626.0,478.7,695.3,766.0,575.3,137.7,86.3,4094.3,11721.7
2013-07-01,388.3,164.3,94.3,231.0,620.3,525.3,691.3,752.0,500.7,135.3,93.7,4032.7,11294.7
2013-10-01,382.3,176.3,119.3,188.7,574.0,556.0,654.3,779.3,521.0,133.0,125.0,4154.0,10775.7
2014-01-01,405.3,162.7,104.7,190.7,656.0,575.0,732.3,778.0,607.7,144.0,114.0,4296.0,10310.3
2014-04-01,463.3,178.7,107.7,250.7,705.0,682.0,796.3,871.7,637.0,156.7,117.0,4765.0,9673.7
2014-07-01,460.3,187.0,112.0,245.0,801.0,681.0,894.7,938.7,676.7,188.7,121.7,5036.3,9489.7
2014-10-01,470.7,194.0,107.7,251.0,786.0,669.7,877.3,989.0,550.0,193.0,115.3,4995.0,8932.3
2015-01-01,514.0,196.7,113.7,229.3,817.7,757.0,917.3,1070.3,608.0,220.0,120.7,5340.0,8666.3
2015-04-01,505.0,189.7,107.7,261.3,899.3,696.3,998.3,1194.3,568.0,260.3,123.0,5469.7,8543.7
2015-07-01,504.0,191.3,123.0,249.0,990.3,720.3,1096.0,1115.7,720.7,223.3,130.3,5670.3,8022.0
2015-10-01,530.3,180.0,99.0,288.3,961.0,765.3,1080.7,1232.0,625.0,255.3,135.7,5775.3,7943.0
2016-01-01,499.7,174.0,94.0,256.7,986.3,781.3,1092.7,1339.0,711.7,152.7,153.7,5970.3,7763.3
2016-04-01,506.3,192.3,94.0,261.7,981.7,766.7,1091.0,1118.3,702.0,192.0,175.3,5774.0,7821.0
2016-07-01,541.7,189.7,94.3,267.7,993.7,766.3,1094.0,1185.7,681.7,210.7,142.3,5835.7,7792.7
2016-10-01,540.3,193.7,81.3,269.3,1100.3,757.7,1211.7,1097.7,652.0,166.3,144.0,5842.0,7628.3
2017-01-01,502.7,213.3,76.7,271.7,1070.7,790.3,1170.7,993.0,657.0,181.3,164.3,5783.7,7306.7
2017-04-01,556.0,205.0,106.7,309.0,1032.0,846.7,1126.0,1098.0,664.7,196.3,166.3,6074.0,6987.3
2017-07-01,538.0,232.0,118.7,291.0,1049.0,853.3,1156.3,1118.0,731.7,276.7,176.3,6278.0,6942.7
2017-10-01,555.3,253.7,99.3,283.0,1038.0,852.3,1139.0,1109.3,876.3,218.0,167.7,6338.3,6702.0
2018-01-01,605.0,263.0,127.3,321.3,1086.7,920.0,1190.7,1137.0,874.3,278.7,171.7,6663.7,6514.0
2018-04-01,611.7,287.3,144.7,257.0,1111.7,1001.3,1225.3,1234.3,991.7,305.7,165.7,7041.0,6367.3
2018-07-01,662.7,292.0,145.0,317.0,1146.7,1033.0,1254.0,1308.7,901.7,303.7,186.3,7269.7,6141.3
2018-10-01,657.3,314.0,132.3,305.7,1178.3,1037.7,1273.7,1346.0,973.7,300.3,183.0,7462.3,6238.3
2019-01-01,698.3,284.3,142.3,264.7,1196.3,1041.3,1308.3,1375.0,798.0,299.0,156.7,7295.0,6271.0
2019-04-01,718.0,284.3,123.3,258.3,1228.7,995.7,1355.0,1241.7,775.0,346.3,177.7,7247.0,5942.0
2019-07-01,712.0,275.3,161.3,276.7,1165.7,981.7,1285.7,1258.3,787.3,321.3,169.3,7114.7,5919.7
2019-10-01,765.7,248.3,138.3,274.7,1156.0,964.0,1278.0,1214.7,763.3,319.7,149.3,6958.7,5864.0
2020-01-01,768.3,225.7,128.7,302.7,1145.3,834.3,1260.0,1227.3,705.3,310.7,147.3,6689.3,6260.0
2020-04-01,642.7,181.3,98.3,224.3,935.0,645.0,1026.0,977.0,573.0,287.0,142.7,5462.0,20560.3
2020-07-01,749.0,234.3,102.3,228.7,1100.3,772.7,1203.0,1189.0,725.7,316.0,200.3,6455.0,14154.0
2020-10-01,707.7,267.7,113.7,227.0,1201.7,805.7,1304.0,1351.3,736.3,311.7,230.3,6817.7,10832.3
2021-01-01,773.0,336.3,132.7,250.7,1347.3,937.0,1479.0,1488.7,853.3,406.7,289.7,7840.7,9974.0
2021-04-01,942.0,500.7,143.0,268.3,1542.7,1428.3,1710.7,1827.3,990.3,490.7,378.3,9834.7,9532.7
2021-07-01,904.0,529.7,216.0,358.7,1694.0,1690.7,1855.0,2033.3,1105.7,590.0,369.7,10916.7,8239.0
2021-10-01,1022.7,495.3,216.7,376.0,1900.0,1654.7,2108.3,2118.3,1022.0,604.0,378.3,11351.3,6760.7
2022-01-01,1039.7,543.7,258.3,374.7,2024.3,1658.0,2199.0,2282.3,1124.7,526.3,340.0,11708.3,6273.7
2022-04-01,1032.7,578.3,246.7,415.0,2038.7,1583.3,2203.3,2236.3,985.7,498.0,323.7,11483.3,5994.7
2022-07-01,1071.3,511.7,226.0,376.7,2012.0,1526.3,2187.7,2019.0,873.0,532.3,330.7,10813.3,5840.3
2022-10-01,1027.3,477.0,165.3,409.7,1940.7,1618.7,2089.7,2081.0,879.7,523.7,277.0,10742.7,5868.0
2023-01-01,1047.3,445.0,137.3,321.3,1744.0,1470.3,1932.7,1855.7,800.7,520.7,250.7,9965.7,5849.0
2023-04-01,1071.3,374.3,150.0,330.7,1745.3,1283.3,1912.3,1630.7,773.3,492.0,231.7,9446.7,5943.0
2023-07-01,1013.0,367.3,144.0,431.7,1801.3,1246.3,1962.3,1521.3,688.7,443.7,214.0,9156.7,6197.0
2023-10-01,990.3,383.0,143.7,301.0,1727.7,1119.0,1891.0,1566.7,629.0,444.7,189.3,8835.0,6324.3
2024-01-01,907.3,360.7,163.7,388.0,1820.0,1153.0,1969.7,1495.3,552.3,305.3,215.7,8638.7,6337.0
2024-04-01,986.7,351.0,116.3,318.7,1618.3,970.3,1811.3,1430.7,520.7,351.3,165.0,8019.7,6650.7
2024-07-01,,,,,,,,,,,,,
